"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","TMAX","TMIN"
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-18",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-19",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-20",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-22",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-23",,,"0.35",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-24",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-25",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-26",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-27",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-28",,,"0.98",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-29",,,"0.10",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-30",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-08-31",,,"0.07","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-01",,,"0.02",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-02",,,"0.04",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-03",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-04",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-05",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-06",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-07",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-08",,,"0.02",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-09",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-10",,,"0.02",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-11",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-12",,,"0.10",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-13",,,"0.24",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-14",,,"0.03",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-15",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-16",,,"0.05",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-17",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-18",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-19",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-20",,,"0.05",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-21",,,"0.93",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-22",,,"0.02","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-09-23",,,"0.00","0.0",,
